No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
400   ,2024-05-25 01:06:38,121.742,24.187,4.6,21.6,24.19N 121.74E, i.e. 25.0 km NNE of Hualien County(24.19N 121.74E, i.e. 25.0 km NNE of Hualien County)
Small area,2024-05-24 21:39:00,121.638,23.9433,4.1,30.5,23.94N 121.64E, i.e. 5.6 km SSE of Hualien County(23.94N 121.64E, i.e. 5.6 km SSE of Hualien County)
399   ,2024-05-24 11:52:37,121.651,23.8457,4.4,1.1,23.85N 121.65E, i.e. 16.4 km SSE of Hualien County(23.85N 121.65E, i.e. 16.4 km SSE of Hualien County)
Small area,2024-05-24 11:10:04,121.949,24.3023,4.1,22.3,24.30N 121.95E, i.e. 48.0 km NE of Hualien County(24.30N 121.95E, i.e. 48.0 km NE of Hualien County)
Small area,2024-05-24 10:42:56,121.652,24.002,3.6,33.7,24.00N 121.65E, i.e. 3.5 km ENE of Hualien County(24.00N 121.65E, i.e. 3.5 km ENE of Hualien County)
Small area,2024-05-24 07:27:10,121.471,23.9533,3.4,17.9,23.95N 121.47E, i.e. 15.8 km WSW of Hualien County(23.95N 121.47E, i.e. 15.8 km WSW of Hualien County)
Small area,2024-05-24 06:26:44,121.989,24.4892,4,15.6,24.49N 121.99E, i.e. 35.2 km SE of Yilan County(24.49N 121.99E, i.e. 35.2 km SE of Yilan County)
398   ,2024-05-24 03:29:57,121.563,24.025,4.1,7.5,24.03N 121.56E, i.e. 6.9 km WNW of Hualien County(24.03N 121.56E, i.e. 6.9 km WNW of Hualien County)
Small area,2024-05-23 22:45:52,121.306,22.8323,4.1,38.7,22.83N 121.31E, i.e. 18.1 km ENE of Taitung County(22.83N 121.31E, i.e. 18.1 km ENE of Taitung County)
397   ,2024-05-23 21:59:28,121.302,23.9342,4.3,5.8,23.93N 121.30E, i.e. 33.0 km W of Hualien County(23.93N 121.30E, i.e. 33.0 km W of Hualien County)
